Column Name,Data Type,Description,Example,Notes
Title,Object,Name of the game,Baldur's Gate 3,Primary identifier
Original Price,Object,Original listed price,$29.99,Needs conversion to numeric
Discounted Price,Object,Current selling price,$17.39,"Includes ""Free"" values"
Release Date,Object,Steam release date,"3 Aug, 2023",Convert to datetime later
Link,Object,Steam store URL,https://...,Not useful for analysis
Game Description,Object,Short description of the game,Text,Mostly complete
Recent Reviews Summary,Object,Overall recent review category,Very Positive,18 unique categories
All Reviews Summary,Object,Overall lifetime review category,Very Positive,Large number of missing values
Recent Reviews Number,Object,Recent review statistics,"""94% of...""",Text; we'll extract numbers
All Reviews Number,Object,Lifetime review statistics,"""90% of...""",Text; we'll extract numbers
Developer,Object,Game developer,Valve,High-cardinality column
Publisher,Object,Game publisher,Valve,High-cardinality column
Supported Languages,Object,Languages supported by the game,"['English', ...]",List stored as text
Popular Tags,Object,User-assigned tags,"['Action', 'RPG']",Multiple tags per game
Game Features,Object,Features available,['Single-player'],List stored as text
Minimum Requirements,Object,Minimum PC requirements,Text,Mostly complete
